543,300,301,24/09/2017 10:01:00,24/09/2017 10:30:00
544,300,301,24/09/2017 09:31:00,24/09/2017 10:00:00
545,300,301,24/09/2017 08:30:00,24/09/2017 09:30:00
546,300,301,24/09/2017 10:31:00,24/09/2017 11:00:00
,10,70,17/09/2017 11:00,17/09/2017 11:30
,39,79,17/09/2017 11:00,17/09/2017 11:30
,8,62,17/09/2017 12:00,17/09/2017 12:30
,10,70,17/09/2017 12:00,17/09/2017 12:30
,39,79,17/09/2017 12:00,17/09/2017 12:30
,8,62,17/09/2017 13:00,17/09/2017 13:30
,10,70,17/09/2017 13:00,17/09/2017 13:30
,39,79,17/09/2017 13:00,17/09/2017 13:30
,8,62,17/09/2017 14:00,17/09/2017 14:30
,10,70,17/09/2017 14:00,17/09/2017 14:30
,39,79,17/09/2017 14:00,17/09/2017 14:30
,8,62,17/09/2017 15:00,17/09/2017 15:30
,10,70,17/09/2017 15:00,17/09/2017 15:30
,39,79,17/09/2017 15:00,17/09/2017 15:30
,8,62,17/09/2017 18:00,17/09/2017 18:30
,10,70,17/09/2017 18:00,17/09/2017 18:30
,39,79,17/09/2017 18:00,17/09/2017 18:30
,8,62,17/09/2017 18:30,17/09/2017 19:00
,10,70,17/09/2017 18:30,17/09/2017 19:00
,39,79,17/09/2017 18:30,17/09/2017 19:00
,8,62,18/09/2017 10:00,18/09/2017 10:30
,10,70,18/09/2017 10:00,18/09/2017 10:30
,39,79,18/09/2017 10:00,18/09/2017 10:30
,8,62,18/09/2017 11:00,18/09/2017 11:30
,10,70,18/09/2017 11:00,18/09/2017 11:30
,39,79,18/09/2017 11:00,18/09/2017 11:30
,8,62,18/09/2017 12:00,18/09/2017 12:30
,10,70,18/09/2017 12:00,18/09/2017 12:30
,39,79,18/09/2017 12:00,18/09/2017 12:30
,8,62,18/09/2017 13:00,18/09/2017 13:30
,10,70,18/09/2017 13:00,18/09/2017 13:30
,39,79,18/09/2017 13:00,18/09/2017 13:30
,8,62,18/09/2017 14:00,18/09/2017 14:30
,10,70,18/09/2017 14:00,18/09/2017 14:30
,39,79,18/09/2017 14:00,18/09/2017 14:30
,8,62,18/09/2017 15:00,18/09/2017 15:30
,10,70,18/09/2017 15:00,18/09/2017 15:30
,39,79,18/09/2017 15:00,18/09/2017 15:30
,8,62,18/09/2017 18:00,18/09/2017 18:30
,10,70,18/09/2017 18:00,18/09/2017 18:30
,39,79,18/09/2017 18:00,18/09/2017 18:30
,8,62,18/09/2017 18:30,18/09/2017 19:00
,10,70,18/09/2017 18:30,18/09/2017 19:00
,39,79,18/09/2017 18:30,18/09/2017 19:00
,8,62,19/09/2017 10:00,19/09/2017 10:30
,10,70,19/09/2017 10:00,19/09/2017 10:30
,39,79,19/09/2017 10:00,19/09/2017 10:30
,8,62,19/09/2017 11:00,19/09/2017 11:30
,10,70,19/09/2017 11:00,19/09/2017 11:30
,39,79,19/09/2017 11:00,19/09/2017 11:30
,8,62,19/09/2017 12:00,19/09/2017 12:30
,10,70,19/09/2017 12:00,19/09/2017 12:30
,39,79,19/09/2017 12:00,19/09/2017 12:30
,8,62,19/09/2017 13:00,19/09/2017 13:30
,10,70,19/09/2017 13:00,19/09/2017 13:30
,39,79,19/09/2017 13:00,19/09/2017 13:30
,8,62,19/09/2017 14:00,19/09/2017 14:30
,10,70,19/09/2017 14:00,19/09/2017 14:30
,39,79,19/09/2017 14:00,19/09/2017 14:30
